# name|c_symbol|url|commit_sha|sha256_parser_c
# Generated by scripts/record-grammar-pins.sh — do not use mutable branch names as pins.
agda|tree_sitter_agda|https://github.com/tree-sitter/tree-sitter-agda|e8d47a6987effe34d5595baf321d82d3519a8527|ab45429d4acee054bcc0d93dabc7b818051b8c98aca3695b3a08b5ba47315980
bash|tree_sitter_bash|https://github.com/tree-sitter/tree-sitter-bash|a06c2e4415e9bc0346c6b86d401879ffb44058f7|5ad30bb1a260c76df5397490b8bd97e272e62ed9c99be36fa53da959d7667e7f
c|tree_sitter_c|https://github.com/tree-sitter/tree-sitter-c|b780e47fc780ddc8da13afa35a3f4ed5c157823d|f2883ff9b21f4a5bd5553c1b10366c418947d17a7bc6bf256124a7542f079dd2
cpp|tree_sitter_cpp|https://github.com/tree-sitter/tree-sitter-cpp|8b5b49eb196bec7040441bee33b2c9a4838d6967|0007727b6e1fbc07657b6a4bf5dc39f524c6009fa347f9faaf180fa9ab17e999
c-sharp|tree_sitter_c_sharp|https://github.com/tree-sitter/tree-sitter-c-sharp|9150f7d56bb47f1a809fa23623f1ba1413e93fa9|2549deeed0c8aeb84f42f9ccd3cf9de047a0c609387075a97784fddb2d1770cd
css|tree_sitter_css|https://github.com/tree-sitter/tree-sitter-css|dda5cfc5722c429eaba1c910ca32c2c0c5bb1a3f|2e5150071220012ee635ac9e2119f4f3a93e0b51a7a3b69ab0cd87c18cf5e51e
dart|tree_sitter_dart|https://github.com/UserNobody14/tree-sitter-dart|be07cf7118d3dba06236a3f19541685a68209934|af2c6d473ddd54f56603db77fa35e0bdbc8e4fb92d41c4bac69dc7e510eb9ca4
dockerfile|tree_sitter_dockerfile|https://github.com/camdencheek/tree-sitter-dockerfile|971acdd908568b4531b0ba28a445bf0bb720aba5|4265eb2433dd67d270e4a901312d7050f686e6a45dca9e7879fdd2d49e7ed501
elixir|tree_sitter_elixir|https://github.com/elixir-lang/tree-sitter-elixir|4b0c7118760af58a2e7081bbc8396e136f820b37|d1c2000b477e873e44e485f55809e3af7e2bfce83fa4d58cfa3a9f83660e7d79
go|tree_sitter_go|https://github.com/tree-sitter/tree-sitter-go|2346a3ab1bb3857b48b29d779a1ef9799a248cd7|3dbf6ed1238b5dfcf2be4d2f2d4cb27a14d34f34d7784eccccbfd532fd4a6d85
